no	code	cprice	qty	kprice	p2price	p3price	saleprice
1	GM-TP-TT-BK-02	80	1	17600	1500	2200	2200
2	GM-TP-TT-GY-01	80	1	17600	1500	2200	2200
3	GW-TP-AC-BK-01	75	1	16500	1400	2000	2000
4	GA-BG-AC-BK-01	159	1	34980	2800	4200	4200
5	GA-BG-AC-MX-01	129	2	28380	2300	3500	3500
6	GA-BG-AC-MX-02	149	2	32780	2700	4000	4000
7	GA-BG-MB-BG-01	138	2	30360	2500	3700	3700
8	GA-BG-MB-GN-01	138	1	30360	2500	3700	3700
9	GA-BG-MB-MX-01	150	2	33000	2700	4000	4000
10	GA-BG-MB-WH-01	129	1	28380	2300	3500	3500
11	GA-BL-AC-MX-01	109	2	23980	2000	2900	2900
12	GA-BL-AC-MX-02	139	2	30580	2500	3700	3700
13	GA-BL-GF-MX-01	80	2	17600	1500	2200	2200
14	GA-BL-PX-MX-01	150	2	33000	2700	4000	4000
15	GA-GB-GF-WH-01	420	1	92400	7400	11100	11100
16	GA-GB-MB-MX-01	378	2	83160	6700	10000	10000
17	GA-GB-TT-WH-01	554	1	121880	9800	14700	14700
18	GA-GG-FJ-BK-01	24	55	5280	500	700	700
19	GA-GG-FJ-WH-01	24	80	5280	500	700	700
20	GA-GG-FJ-WH-02	47	25	10340	900	1300	1300
21	GA-HT-AC-MX-01	59	2	12980	1100	1600	1500
22	GA-HT-AC-MX-02	39	5	8580	700	1100	1000
23	GA-HT-AC-WH-01	59	2	12980	1100	1600	1500
24	GA-HT-GF-MX-01	28.8	1	6336	600	800	1000
25	GA-HT-MB-MX-01	43	5	9460	800	1200	1000
26	GA-HT-TT-MX-01	35	7	7700	700	1000	1000
27	GA-JH-AC-BK-02	18	30	3960	400	500	500
28	GA-JH-AC-IB-01	9	30	1980	200	300	300
29	GA-JH-AC-MX-01	7	50	1540	200	200	200
30	GA-JH-AC-RD-01	8	50	1760	200	300	300
31	GA-JH-AC-TP-01	79	4	17380	1400	2100	2100
32	GA-JH-AC-WH-01	18	70	3960	400	500	500
33	GA-JH-EX-MX-01	25	30	5500	500	700	700
34	GA-JH-TT-WH-01	108	5	23760	2000	2900	2900
35	GA-PC-AC-MX-01	110	2	24200	2000	3000	3000
36	GA-OT-EX-MX-01	18	1	3960	400	500	500
37	GA-PC-AN-BK-01	90	1	19800	1600	2400	2400
38	GA-PC-MB-MX-01	75	2	16500	1400	2000	2000
39	GA-PC-MB-MX-02	99	1	21780	1800	2700	2700
40	GA-PC-PX-BK-01	86.5	1	19030	1600	2300	2300
41	GA-PC-PX-MX-01	87	2	19140	1600	2300	2300
42	GA-UM-AC-BK-01	69	3	15180	1300	1900	1900
43	GA-UM-MB-GE-01	79	5	17380	1400	2100	2100
44	GM-BT-AC-BG-01	230	2	50600	4100	6100	6100
45	GM-BT-AC-BG-02	220	2	48400	3900	5900	5900
46	GM-BT-AC-BK-01	230	3	50600	4100	6100	6100
47	GM-BT-AC-BK-02	220	2	48400	3900	5900	5900
48	GM-BT-AC-WH-01	150	4	33000	2700	4000	4000
49	GM-BT-PX-BK-01	220	3	48400	3900	5900	5900
50	GM-BT-PX-MT-01	220	2	48400	3900	5900	5900
