넘버	코드	S	M	L	XL	2XL	3XL	Free	total_qty
1	 GM-TP-TT-BK-02	0	0	0	1	0	0	0	1
2	 GM-TP-TT-GY-01	0	0	0	1	0	0	0	1
3	 GW-TP-AC-BK-01	0	1	0	0	0	0	0	1
4	GA-BG-AC-BK-01	0	0	0	0	0	0	1	1
5	GA-BG-AC-MX-01	1	1	0	0	0	0	0	2
6	GA-BG-AC-MX-02	1	1	0	0	0	0	0	2
7	GA-BG-MB-BG-01	0	0	0	0	0	0	1	1
8	GA-BG-MB-GN-01	0	0	0	0	0	0	1	1
9	GA-BG-MB-MX-01	1	1	0	0	0	0	0	2
10	GA-BG-MB-WH-01	0	0	0	0	0	0	1	1
11	GA-BL-AC-MX-01	1	1	0	0	0	0	0	2
12	GA-BL-AC-MX-02	1	1	0	0	0	0	0	2
13	GA-BL-GF-MX-01	1	1	0	0	0	0	0	2
14	GA-BL-PX-MX-01	1	1	0	0	0	0	0	2
15	GA-GB-GF-WH-01	0	0	0	0	0	0	1	1
16	GA-GB-MB-MX-01	1	1	0	0	0	0	0	2
17	GA-GB-TT-WH-01	0	0	0	0	0	0	1	1
18	GA-GG-FJ-BK-01	5	15	14	15	5	0	0	54
19	GA-GG-FJ-WH-01	4	20	30	20	5	0	0	79
20	GA-GG-FJ-WH-02	5	15	5	0	0	0	0	25
21	GA-HT-AC-MX-01	1	1	0	0	0	0	0	2
22	GA-HT-AC-MX-02	3	2	0	0	0	0	0	5
23	GA-HT-AC-WH-01	0	0	0	0	0	0	2	2
24	GA-HT-GF-MX-01	0	0	0	0	0	0	1	1
25	GA-HT-MB-MX-01	1	1	1	1	1	0	0	5
26	GA-HT-TT-MX-01	5	1	1	0	0	0	0	7
27	GA-JH-AC-BK-02	0	0	0	10	20	0	0	30
28	GA-JH-AC-IB-01	0	0	0	0	0	0	30	30
29	GA-JH-AC-MX-01	25	25	0	0	0	0	0	50
30	GA-JH-AC-RD-01	0	0	0	0	0	0	50	50
31	GA-JH-AC-TP-01	0	0	0	0	0	0	4	4
32	GA-JH-AC-WH-01	0	0	10	10	50	0	0	70
33	GA-JH-EX-MX-01	10	10	10	0	0	0	0	30
34	GA-JH-TT-WH-01	0	0	0	0	0	0	5	5
35	GA-PC-AC-MX-01	1	2	0	0	0	0	0	3
36	GA-PC-AC-MX-02	0	0	0	0	0	0	1	1
37	GA-PC-AN-BK-01	0	0	0	0	0	0	1	1
38	GA-PC-MB-MX-01	1	1	0	0	0	0	0	2
39	GA-PC-MB-MX-02	1	1	0	0	0	0	0	2
40	GA-PC-PX-BK-01	0	0	0	0	0	0	1	1
41	GA-PC-PX-MX-01	1	1	0	0	0	0	0	2
42	GA-UM-AC-BK-01	0	0	0	0	0	0	3	3
43	GA-UM-MB-GE-01	0	0	0	0	0	0	5	5
44	GM-BT-AC-BG-01	0	0	0	1	1	0	0	2
45	GM-BT-AC-BG-02	0	0	0	1	1	0	0	2
46	GM-BT-AC-BK-01	0	0	1	1	1	0	0	3
47	GM-BT-AC-BK-02	0	0	1	1	0	0	0	2
48	GM-BT-AC-WH-01	0	0	2	1	1	0	0	4
49	GM-BT-PX-BK-01	0	1	1	1	0	0	0	3
50	GM-BT-PX-MT-01	0	1	1	0	0	0	0	2
51	GM-BT-TT-WH-01	0	0	0	1	0	0	0	1
